City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,sumbe,-11.2061,13.8437,26.59,89,56,2.23,AO,1711328680
128,flying fish cove,-10.4217,105.6791,26.82,89,75,3.6,CX,1711328681
129,ad dilam,23.9915,47.1627,25.23,32,100,7.16,SA,1711328681
130,upington,-28.4478,21.2561,24.21,57,0,1.54,ZA,1711328682
131,ad dawadimi,24.5077,44.3924,15.64,36,0,8.67,SA,1711328541
132,longyearbyen,78.2186,15.6401,-21.09,77,0,2.57,SJ,1711328599
133,atar,20.5169,-13.0499,20.46,37,0,3.26,MR,1711328685
134,tolanaro,-25.0319,46.9987,25.04,65,75,9.77,MG,1711328685
135,calama,-22.4667,-68.9333,19.27,45,0,6.69,CL,1711328648
136,saint-philippe,-21.3585,55.7679,26.17,85,100,8.38,RE,1711328687
137,arraial do cabo,-22.9661,-42.0278,23.15,93,100,6.83,BR,1711328504
138,ayr,55.4627,-4.6339,4.96,87,0,4.63,GB,1711328688
139,codrington,-38.2667,141.9667,18.19,60,99,6.57,AU,1711328689
140,revda,56.801,59.9303,-0.18,90,100,4.02,RU,1711328690
141,maun,-19.9833,23.4167,20.6,61,8,4.93,BW,1711328691
142,talnakh,69.4865,88.3972,-33.74,95,22,0.63,RU,1711328691
143,kiunga,-6.1219,141.2906,31.34,64,79,0.26,PG,1711328692
144,bambanglipuro,-7.95,110.2833,27.27,80,97,2.1,ID,1711328693
145,huarmey,-10.0681,-78.1522,23.12,86,100,3.94,PE,1711328592
146,kitimat,54.0524,-128.6534,17.21,37,29,2.24,CA,1711328624
147,sinabang,2.4803,96.3801,28.16,73,93,0.87,ID,1711328695
148,tura,25.5198,90.2201,20.67,62,33,1.24,IN,1711328696
149,kansas city,39.0997,-94.5786,12.72,71,100,4.12,US,1711328693
150,usogorsk,63.4106,48.6872,-17.96,98,100,3.37,RU,1711328698
151,avarua,-21.2078,-159.775,31.03,74,40,5.66,CK,1711328698
152,novosokol'niki,56.3463,30.1578,-1.51,94,12,2.31,RU,1711328699
153,manado,1.487,124.8455,28.43,83,40,4.63,ID,1711328700
154,sao felix do xingu,-6.6447,-51.995,23.26,99,100,0.54,BR,1711328454
155,manoharpur,27.3,75.95,20.73,38,5,2.28,IN,1711328701
156,igarka,67.4667,86.5833,-31.67,92,11,3.6,RU,1711328702
157,tazovsky,67.4667,78.7,-33.31,97,23,2.83,RU,1711328703
158,saipan,15.1355,145.701,29.39,100,75,10.29,MP,1711328694
159,cooma,-36.2333,149.1333,22.13,19,0,1.24,AU,1711328705
